Trajectories
100
,,Hand:Center,,,Hand:Thumb,,,Hand:Root,,,Hand:Index,,,Hand:Pinky,,,ArmJoint6:ToEnd1,,,ArmJoint6:ToEnd2,,,ArmJoint6:Joint61,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
69,0,125.284698,436.392975,332.008148,99.985954,380.743713,314.436401,159.022491,455.480438,335.854980,44.934544,417.308197,324.778015,66.502411,496.937439,311.923248,-119.735771,3.319757,614.193298,-134.746277,0.542913,544.776855,-117.121994,3.089227,657.538086
70,0,123.085297,436.212860,331.674530,97.868851,380.332977,314.282013,156.981308,454.992371,335.730865,42.863361,416.981476,324.676605,64.523422,496.549988,311.872894,-119.732285,3.314878,614.189026,-134.748535,0.538516,544.768982,-117.117973,3.081004,657.531494
71,0,121.057365,435.821198,331.528503,95.756287,379.940277,314.207611,154.955002,454.528870,335.571045,40.811569,416.668671,324.568329,62.592796,496.217651,311.663483,-119.728485,3.308339,614.171753,-134.747269,0.532080,544.751404,-117.114540,3.077166,657.512207
72,0,119.019279,435.419250,331.446899,93.632286,379.583588,314.210297,152.933380,454.105438,335.449432,38.735786,416.424805,324.461548,60.658535,495.906128,311.382477,-119.725647,3.310951,614.183167,-134.741104,0.537864,544.767944,-117.112556,3.079295,657.530090
73,0,116.970711,435.060638,331.329865,91.508652,379.187988,314.229614,150.922424,453.688110,335.331055,36.658684,416.159668,324.317413,58.711227,495.578644,311.048462,-119.725647,3.311987,614.201660,-134.743729,0.541559,544.784180,-117.115646,3.081652,657.546570
74,0,114.653893,435.042450,330.988647,89.379822,378.818329,314.156158,148.893799,453.262146,335.200470,34.573742,415.862000,324.139282,56.745983,495.243073,310.719147,-119.728996,3.304078,614.196472,-134.744965,0.526931,544.776672,-117.112740,3.066323,657.538086
75,0,112.836945,434.272156,331.057770,87.249641,378.414795,314.086609,146.857651,452.836121,335.053406,32.482471,415.564728,323.956207,54.760952,494.899353,310.437592,-119.730240,3.291265,614.176270,-134.745529,0.520385,544.756714,-117.114685,3.057948,657.518372
76,0,110.780762,433.873718,330.967590,85.104446,378.061707,314.025116,144.828934,452.411438,334.938751,30.397774,415.273987,323.881683,52.783970,494.566010,310.275452,-119.728523,3.290505,614.194519,-134.749008,0.511296,544.773071,-117.114746,3.056671,657.539856
77,0,108.750069,433.547821,330.849670,82.957726,377.732605,313.997314,142.801529,452.028870,334.794556,28.329556,415.081970,323.818481,50.847019,494.312347,310.129150,-119.741089,3.301056,614.209473,-134.759705,0.524497,544.787109,-117.130913,3.071385,657.550842
78,0,106.724258,433.237152,330.663940,80.808571,377.472748,313.910706,140.802063,451.641724,334.567566,26.265942,414.952026,323.710541,48.951706,494.077820,309.886871,-119.756592,3.302628,614.188904,-134.770966,0.522027,544.769409,-117.142815,3.068982,657.534668
79,0,104.715515,432.933899,330.451141,78.652092,377.191711,313.841919,138.801422,451.261963,334.316193,24.195538,414.864899,323.560333,47.084686,493.896576,309.542023,-119.758820,3.302537,614.179077,-134.770477,0.520249,544.760254,-117.147514,3.070271,657.527527
80,0,102.699631,432.640198,330.220062,76.504204,376.932648,313.714111,136.787537,450.876312,334.073456,22.124794,414.776489,323.333282,45.225121,493.716248,309.142426,-119.748016,3.297125,614.212524,-134.767242,0.521553,544.786804,-117.143982,3.063815,657.555603
81,0,100.655731,432.337189,329.947113,74.360344,376.668488,313.480164,134.773575,450.522614,333.812592,20.058020,414.652954,322.943054,43.333855,493.541351,308.667572,-119.762161,3.311833,614.222595,-134.772583,0.530293,544.796570,-117.154243,3.077694,657.564392
82,0,98.602295,432.007446,329.618103,72.249207,376.373108,313.121552,132.754333,450.152008,333.535309,17.977270,414.450287,322.431915,41.409729,493.306213,308.128479,-119.770279,3.321279,614.203491,-134.788879,0.540680,544.779480,-117.163025,3.088087,657.547852
83,0,96.544189,431.678741,329.281525,70.156052,376.069977,312.718353,130.728424,449.774841,333.291656,15.896156,414.232635,321.890472,39.470417,493.027924,307.638123,-119.773506,3.326144,614.206360,-134.790909,0.545566,544.778503,-117.170227,3.095763,657.550476
84,0,94.498962,431.333496,328.989227,68.089554,375.766754,312.327972,128.728485,449.406311,333.075409,13.867292,413.973236,321.410950,37.544422,492.747192,307.244965,-119.758911,3.330155,614.240479,-134.777069,0.555984,544.815796,-117.155304,3.102057,657.583740
85,0,92.499237,431.020142,328.719971,66.024513,375.516602,311.933990,126.767624,449.044098,332.873474,11.853662,413.787201,320.969299,35.679138,492.550323,306.921783,-119.755150,3.341331,614.248901,-134.769348,0.559042,544.828613,-117.153198,3.110791,657.593567
86,0,90.547745,430.747864,328.451538,63.962555,375.322815,311.569641,124.838074,448.701447,332.657288,9.858059,413.720581,320.595703,33.890606,492.434601,306.687408,-119.760902,3.351366,614.243652,-134.773102,0.571848,544.816467,-117.159927,3.119721,657.581787
87,0,88.633606,430.534332,328.218628,61.899059,375.188934,311.284302,122.929146,448.391541,332.455811,7.903055,413.723907,320.322021,32.167210,492.379028,306.517151,-119.758446,3.362283,614.248230,-134.770401,0.581348,544.821777,-117.156975,3.132257,657.588135
88,0,86.724693,430.344025,328.037964,59.839508,375.062775,311.111755,121.040916,448.104431,332.294525,5.954636,413.778625,320.137268,30.458086,492.368286,306.347900,-119.744118,3.366807,614.282532,-134.760834,0.590605,544.857605,-117.139244,3.141619,657.626221
89,0,84.813362,430.178314,327.842438,57.780270,374.977203,310.930206,119.155083,447.856903,332.106689,3.996036,413.852753,319.908936,28.728916,492.365662,306.059448,-119.732544,3.373436,614.290100,-134.749832,0.597791,544.866394,-117.130363,3.144609,657.631836
90,0,82.875206,430.041718,327.599579,55.712292,374.900146,310.692261,117.263107,447.620178,331.905487,2.019047,413.940369,319.575134,26.982431,492.359589,305.686951,-119.734612,3.368786,614.263000,-134.750397,0.591560,544.841187,-117.130684,3.144471,657.600708
91,0,80.652786,430.290741,327.194427,53.653099,374.833160,310.460083,115.360596,447.392059,331.755066,0.029942,414.007019,319.218536,25.211407,492.336639,305.317657,-119.733398,3.366889,614.254456,-134.745224,0.585289,544.836426,-117.127693,3.140263,657.595825
92,0,78.792915,430.055420,327.082916,51.621193,374.746246,310.302094,113.478706,447.192566,331.655518,-1.923446,414.045563,318.905518,23.460135,492.311859,304.971893,-119.717567,3.358631,614.282349,-134.735916,0.583281,544.865417,-117.110207,3.132971,657.623352
93,0,77.076340,429.649384,327.085449,49.625149,374.652344,310.164703,111.631363,446.996552,331.540314,-3.853674,414.101013,318.633392,21.709011,492.290985,304.599121,-119.707657,3.354014,614.283936,-134.724792,0.569964,544.865051,-117.099937,3.120322,657.625061
94,0,75.223076,429.553314,326.909027,47.639637,374.612091,310.015137,109.821686,446.802887,331.390900,-5.735970,414.201447,318.391785,20.020683,492.305084,304.262634,-119.703278,3.326601,614.245361,-134.717087,0.555243,544.826965,-117.091255,3.099166,657.585449
95,0,73.387726,429.476074,326.808716,45.650696,374.594147,309.950714,108.022713,446.629974,331.290375,-7.617656,414.330536,318.276306,18.362373,492.350403,304.069946,-119.702118,3.314862,614.241150,-134.721115,0.541427,544.824219,-117.091278,3.088804,657.585815
96,0,71.570633,429.365845,326.756531,43.667385,374.566345,309.919678,106.227753,446.433258,331.223267,-9.484183,414.499634,318.203033,16.744843,492.418945,303.956024,-119.698029,3.308135,614.259949,-134.717773,0.535155,544.840454,-117.087494,3.077306,657.596741
97,0,69.736176,429.242035,326.678772,41.688786,374.515289,309.845795,104.430580,446.218353,331.157318,-11.365284,414.619049,318.093140,15.094085,492.468811,303.848358,-119.698868,3.296360,614.246582,-134.719604,0.528159,544.827271,-117.089386,3.067975,657.588440
98,0,67.890617,429.142914,326.572235,39.718807,374.475189,309.704834,102.638474,446.005829,331.083984,-13.223463,414.699249,317.943329,13.435432,492.487274,303.745728,-119.710304,3.297783,614.203308,-134.725784,0.520886,544.786377,-117.095451,3.059542,657.547668
99,0,66.095634,428.978821,326.553131,37.802643,374.407684,309.628845,100.877815,445.779510,331.091522,-15.052430,414.734161,317.848297,11.777794,492.445709,303.698334,-119.722794,3.295081,614.194946,-134.734680,0.522133,544.779175,-117.103493,3.062608,657.543213
100,0,64.346428,428.824066,326.578857,35.956059,374.299469,309.640381,99.168747,445.585419,331.127563,-16.823118,414.740112,317.832062,10.167896,492.398499,303.694122,-119.731522,3.296417,614.208252,-134.748138,0.522182,544.788635,-117.118439,3.056866,657.551147
101,0,62.351265,429.117767,326.378448,34.192879,374.182922,309.654633,97.538551,445.346985,331.142944,-18.506741,414.717468,317.839294,8.625856,492.319702,303.685059,-119.744759,3.276650,614.180542,-134.761688,0.498680,544.765503,-117.133362,3.044069,657.527283
102,0,60.917725,428.783264,326.493317,32.480858,374.090515,309.743713,95.999695,445.143707,331.154266,-20.133316,414.750427,317.939514,7.167245,492.257385,303.719055,-119.754562,3.269649,614.154419,-134.769897,0.494310,544.737122,-117.141357,3.030439,657.499146
