Hand:Center,Hand:Center,Hand:Center,Hand:Thumb,Hand:Thumb,Hand:Thumb,Hand:Root,Hand:Root,Hand:Root,Hand:Index,Hand:Index,Hand:Index,Hand:Pinky,Hand:Pinky,Hand:Pinky
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
766.5501865,502.88275425,298.511738,742.3204655,446.53476224999997,281.49098599999996,800.0810695,522.16568225,302.331501,686.7728045,482.06244125,292.364033,706.7141115,561.96792825,279.19951199999997
765.1043855,502.60241924999997,298.52086299999996,740.8744355,446.22986125,281.62095999999997,798.6468355,521.86056825,302.311115,685.3344265,481.78357224999996,292.436359,705.2807615,561.65137025,279.066059
763.6453395,502.29135425,298.56224399999996,739.3979955,445.91034225,281.773853,797.1774295,521.5693992500001,302.327503,683.8861315,481.50287125,292.526081,703.8178715,561.34540025,278.96910499999996
761.7039645,502.51620725,298.413532,737.8844604999999,445.57571724999997,281.86299499999996,795.6774594999999,521.21963725,302.383472,682.3600235,481.19827525,292.58498,702.3137205,561.01340025,278.97322499999996
760.3826295,501.93793024999997,298.50636699999995,736.3146055,445.24908725,281.893909,794.1306305,520.85830925,302.47468899999996,680.7814715,480.87546025,292.62346299999996,700.7576825,560.71808125,279.07588599999997
758.9703525,501.25787625,298.794147,734.6892855,444.90790024999995,281.899799,792.5371705,520.50180325,302.588673,679.1579895,480.51187425,292.684711,699.1465985,560.38208225,279.313557
757.3115235,500.90286525,298.87526299999996,733.1365965,444.68240625,281.58739099999997,790.8806305,520.12674225,302.68935,677.4851835,480.16281425,292.76833,697.4895094999999,560.05664325,279.552387
755.6217655,500.54458925,298.960102,731.2786565,444.25882225,281.94798699999996,789.1800075,519.76715325,302.76948899999996,675.7780305,479.85202325,292.888081,695.8044965,559.73407225,279.748585
753.9065555,500.25747924999996,299.04979299999997,729.5021055,443.97561924999997,282.08439999999996,787.4726105,519.46387025,302.815266,674.0447315,479.64963025,293.062916,694.1253895,559.47806025,279.82478699999996
752.1886905,500.00876124999996,299.119831,727.3943174999999,444.03561625,282.254352,785.7727205,519.15518425,302.82957799999997,672.3163225,479.51178224999995,293.18996,692.5054705,559.27832325,279.769978
750.4989315,499.77310424999996,299.135761,725.9139405,443.49286125,282.462299,784.0955815,518.87066925,302.796314,670.5780795000001,479.41247825,293.25093499999997,690.9102175,559.10003925,279.58928299999997
748.8012845000001,499.50769325,299.125385,724.1390074999999,443.22540525,282.590259,782.4054265,518.56424225,302.770374,668.8371425,479.27582025,293.263935,689.3085635,558.91641525,279.386738
747.0502775,499.21426625,299.11357499999997,722.3523945,442.93942525,282.60078799999997,780.6771395000001,518.26492625,302.762897,667.0704264999999,479.04480225,293.187916,687.6343995,558.65783925,279.234241
745.2324825000001,498.83273625,299.072346,720.0667575,443.07394725,282.377338,778.8960725,517.87668125,302.769611,665.2491075,478.69565124999997,292.980488,685.8648685000001,558.32947025,279.14534399999997
743.3545995,498.41253924999995,298.988514,718.3517684999999,442.49859925,282.191181,777.0617215,517.46090925,302.76622399999997,663.3657075,478.25943225,292.70921699999997,684.0229725,557.93854025,279.11006499999996
741.4336855,497.97958624999995,298.902607,716.7790904999999,441.75329825,281.968616,775.1709135,517.04013325,302.75703799999997,661.4387515,477.79651125,292.451893,682.1391065,557.54675525,279.128559
739.4991155,497.56775124999996,298.84108299999997,714.8060375,441.38263225,281.76829899999996,773.2489475,516.62814625,302.73051799999996,659.4708975,477.44125625,292.293232,680.2577665,557.20401225,279.17607499999997
