T
100
,,Base:XYPlane1,,,Base:XYPlane2,,,Base:XYPlane3,,,Base:XYPlane4,,,Base:Zbase,,,OriginTest:O,,,OriginTest:X,,,OriginTest:Y,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
43,0,-559.869263,-91.118240,233.464066,-561.946594,-20.338654,233.806961,-633.499512,-23.702049,236.034058,-628.222107,-93.676422,235.521744,-616.464722,205.864426,34.106407,9.279768,10.222898,43.702141,202.438461,10.325248,36.623680,9.224057,236.529999,43.822739
44,0,-559.870483,-91.115707,233.463486,-561.945251,-20.334698,233.808746,-633.492004,-23.697010,236.037399,-628.214172,-93.670319,235.523315,-616.456360,205.866104,34.109413,9.281235,10.228211,43.703087,202.441040,10.328490,36.624821,9.224425,236.537964,43.818024
45,0,-559.869019,-91.116325,233.449326,-561.946411,-20.333794,233.794632,-633.489807,-23.698439,236.025665,-628.224915,-93.672264,235.509979,-616.456848,205.868439,34.094204,9.278442,10.229877,43.684017,202.440491,10.330576,36.604893,9.225873,236.539337,43.803852
46,0,-559.869141,-91.116226,233.444641,-561.941833,-20.335899,233.787567,-633.486389,-23.698542,236.017059,-628.221313,-93.671776,235.506119,-616.458313,205.866745,34.086704,9.280889,10.227766,43.678616,202.442749,10.331566,36.599812,9.229877,236.536392,43.799576
47,0,-559.875000,-91.112289,233.457520,-561.945129,-20.335361,233.806702,-633.492249,-23.697571,236.033844,-628.228333,-93.671745,235.524368,-616.460083,205.869614,34.108303,9.279748,10.225986,43.699100,202.441010,10.325604,36.620934,9.223763,236.535538,43.816364
48,0,-559.872009,-91.112900,233.463989,-561.943665,-20.334883,233.811401,-633.487122,-23.694376,236.040283,-628.225952,-93.670563,235.525146,-616.456787,205.868851,34.116199,9.281421,10.226131,43.710175,202.441223,10.327783,36.625095,9.225072,236.535477,43.825184
49,0,-559.871826,-91.119072,233.452286,-561.950439,-20.337276,233.792984,-633.491333,-23.698280,236.023911,-628.223633,-93.675407,235.513687,-616.464783,205.866287,34.095810,9.278999,10.226447,43.688381,202.440536,10.329224,36.608196,9.226513,236.537704,43.805256
50,0,-559.870605,-91.122765,233.439896,-561.946411,-20.343218,233.785858,-633.495789,-23.707706,236.013092,-628.222595,-93.679871,235.503784,-616.462402,205.863525,34.082203,9.282768,10.225016,43.678391,202.440826,10.327579,36.597218,9.225459,236.535339,43.794601
51,0,-559.872437,-91.128502,233.451050,-561.948792,-20.345119,233.793762,-633.494446,-23.709482,236.022766,-628.221863,-93.682144,235.513260,-616.466797,205.858597,34.092365,9.278966,10.217849,43.693027,202.440735,10.320473,36.614193,9.224342,236.527374,43.809093
52,0,-559.878723,-91.119759,233.461273,-561.949158,-20.341120,233.810684,-633.492432,-23.706161,236.040039,-628.225769,-93.674881,235.524353,-616.464294,205.862915,34.110851,9.279944,10.225637,43.708199,202.436508,10.330488,36.626804,9.220634,236.532883,43.824265
